Target,Target_Namespace,Target_Type,Target_Method,Job_Id,Job_AnalyzeLaunchVariance,Job_EvaluateOverhead,Job_MaxAbsoluteError,Job_MaxRelativeError,Job_MinInvokeCount,Job_MinIterationTime,Job_OutlierMode,Job_Affinity,Job_EnvironmentVariables,Job_Jit,Job_LargeAddressAware,Job_Platform,Job_PowerPlanMode,Job_Runtime,Job_AllowVeryLargeObjects,Job_Concurrent,Job_CpuGroups,Job_Force,Job_HeapAffinitizeMask,Job_HeapCount,Job_NoAffinitize,Job_RetainVm,Job_Server,Job_Arguments,Job_BuildConfiguration,Job_Clock,Job_EngineFactory,Job_NuGetReferences,Job_Toolchain,Job_IsMutator,Job_InvocationCount,Job_IterationCount,Job_IterationTime,Job_LaunchCount,Job_MaxIterationCount,Job_MaxWarmupIterationCount,Job_MemoryRandomization,Job_MinIterationCount,Job_MinWarmupIterationCount,Job_RunStrategy,Job_UnrollFactor,Job_WarmupCount,Job_Display,Params,Measurement_LaunchIndex,Measurement_IterationMode,Measurement_IterationStage,Measurement_IterationIndex,Measurement_Nanoseconds,Measurement_Operations,Measurement_Value,Gen_0,Gen_1,Gen_2,Allocated_Bytes
IEnumerableVsListItemGet.Find,KnowledgeSharing_09_10_23,IEnumerableVsListItemGet,Find,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Overhead,Jitting,1,211000,1,211000,0,0,0,0
IEnumerableVsListItemGet.Find,KnowledgeSharing_09_10_23,IEnumerableVsListItemGet,Find,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Jitting,1,410100,1,410100,0,0,0,0
IEnumerableVsListItemGet.Find,KnowledgeSharing_09_10_23,IEnumerableVsListItemGet,Find,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Overhead,Jitting,2,205000,16,12812.5,0,0,0,0
IEnumerableVsListItemGet.Find,KnowledgeSharing_09_10_23,IEnumerableVsListItemGet,Find,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Jitting,2,217500,16,13593.75,0,0,0,0
IEnumerableVsListItemGet.Find,KnowledgeSharing_09_10_23,IEnumerableVsListItemGet,Find,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,1,76100,16,4756.25,0,0,0,0
IEnumerableVsListItemGet.Find,KnowledgeSharing_09_10_23,IEnumerableVsListItemGet,Find,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,2,76000,32,2375,0,0,0,0
IEnumerableVsListItemGet.Find,KnowledgeSharing_09_10_23,IEnumerableVsListItemGet,Find,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,3,149300,64,2332.81,0,0,0,0
IEnumerableVsListItemGet.Find,KnowledgeSharing_09_10_23,IEnumerableVsListItemGet,Find,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,4,296900,128,2319.53,0,0,0,0
IEnumerableVsListItemGet.Find,KnowledgeSharing_09_10_23,IEnumerableVsListItemGet,Find,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,5,600900,256,2347.27,0,0,0,0
IEnumerableVsListItemGet.Find,KnowledgeSharing_09_10_23,IEnumerableVsListItemGet,Find,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,6,1201800,512,2347.27,0,0,0,0
IEnumerableVsListItemGet.Find,KnowledgeSharing_09_10_23,IEnumerableVsListItemGet,Find,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,7,2458000,1024,2400.39,0,0,0,0
IEnumerableVsListItemGet.Find,KnowledgeSharing_09_10_23,IEnumerableVsListItemGet,Find,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,8,4740800,2048,2314.84,0,0,0,0
IEnumerableVsListItemGet.Find,KnowledgeSharing_09_10_23,IEnumerableVsListItemGet,Find,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,9,9506600,4096,2320.95,0,0,0,0
IEnumerableVsListItemGet.Find,KnowledgeSharing_09_10_23,IEnumerableVsListItemGet,Find,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,10,18975000,8192,2316.28,0,0,0,0
