Target,Target_Namespace,Target_Type,Target_Method,Job_Id,Job_AnalyzeLaunchVariance,Job_EvaluateOverhead,Job_MaxAbsoluteError,Job_MaxRelativeError,Job_MinInvokeCount,Job_MinIterationTime,Job_OutlierMode,Job_Affinity,Job_EnvironmentVariables,Job_Jit,Job_LargeAddressAware,Job_Platform,Job_PowerPlanMode,Job_Runtime,Job_AllowVeryLargeObjects,Job_Concurrent,Job_CpuGroups,Job_Force,Job_HeapAffinitizeMask,Job_HeapCount,Job_NoAffinitize,Job_RetainVm,Job_Server,Job_Arguments,Job_BuildConfiguration,Job_Clock,Job_EngineFactory,Job_NuGetReferences,Job_Toolchain,Job_IsMutator,Job_InvocationCount,Job_IterationCount,Job_IterationTime,Job_LaunchCount,Job_MaxIterationCount,Job_MaxWarmupIterationCount,Job_MemoryRandomization,Job_MinIterationCount,Job_MinWarmupIterationCount,Job_RunStrategy,Job_UnrollFactor,Job_WarmupCount,Job_Display,Params,Measurement_LaunchIndex,Measurement_IterationMode,Measurement_IterationStage,Measurement_IterationIndex,Measurement_Nanoseconds,Measurement_Operations,Measurement_Value,Gen_0,Gen_1,Gen_2,Allocated_Bytes
IEnumerableVsListIteration.DataTable_Iteration,KnowledgeSharing_09_10_23,IEnumerableVsListIteration,DataTable_Iteration,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Overhead,Jitting,1,175100,1,175100,0,0,0,0
IEnumerableVsListIteration.DataTable_Iteration,KnowledgeSharing_09_10_23,IEnumerableVsListIteration,DataTable_Iteration,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Jitting,1,160000,1,160000,0,0,0,0
IEnumerableVsListIteration.DataTable_Iteration,KnowledgeSharing_09_10_23,IEnumerableVsListIteration,DataTable_Iteration,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Overhead,Jitting,2,165500,16,10343.75,0,0,0,0
IEnumerableVsListIteration.DataTable_Iteration,KnowledgeSharing_09_10_23,IEnumerableVsListIteration,DataTable_Iteration,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Jitting,2,367100,16,22943.75,0,0,0,0
IEnumerableVsListIteration.DataTable_Iteration,KnowledgeSharing_09_10_23,IEnumerableVsListIteration,DataTable_Iteration,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,1,29000,16,1812.5,0,0,0,0
IEnumerableVsListIteration.DataTable_Iteration,KnowledgeSharing_09_10_23,IEnumerableVsListIteration,DataTable_Iteration,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,2,45000,32,1406.25,0,0,0,0
IEnumerableVsListIteration.DataTable_Iteration,KnowledgeSharing_09_10_23,IEnumerableVsListIteration,DataTable_Iteration,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,3,88700,64,1385.94,0,0,0,0
IEnumerableVsListIteration.DataTable_Iteration,KnowledgeSharing_09_10_23,IEnumerableVsListIteration,DataTable_Iteration,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,4,229600,128,1793.75,0,0,0,0
IEnumerableVsListIteration.DataTable_Iteration,KnowledgeSharing_09_10_23,IEnumerableVsListIteration,DataTable_Iteration,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,5,341000,256,1332.03,0,0,0,0
IEnumerableVsListIteration.DataTable_Iteration,KnowledgeSharing_09_10_23,IEnumerableVsListIteration,DataTable_Iteration,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,6,655500,512,1280.27,0,0,0,0
IEnumerableVsListIteration.DataTable_Iteration,KnowledgeSharing_09_10_23,IEnumerableVsListIteration,DataTable_Iteration,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,7,1311200,1024,1280.47,0,0,0,0
IEnumerableVsListIteration.DataTable_Iteration,KnowledgeSharing_09_10_23,IEnumerableVsListIteration,DataTable_Iteration,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,8,2621900,2048,1280.22,0,0,0,0
IEnumerableVsListIteration.DataTable_Iteration,KnowledgeSharing_09_10_23,IEnumerableVsListIteration,DataTable_Iteration,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,9,5558900,4096,1357.15,0,0,0,0
IEnumerableVsListIteration.DataTable_Iteration,KnowledgeSharing_09_10_23,IEnumerableVsListIteration,DataTable_Iteration,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,10,10545100,8192,1287.24,0,0,0,0
IEnumerableVsListIteration.DataTable_Iteration,KnowledgeSharing_09_10_23,IEnumerableVsListIteration,DataTable_Iteration,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,11,20736500,16384,1265.66,0,0,0,0
IEnumerableVsListIteration.DataTable_Iteration,KnowledgeSharing_09_10_23,IEnumerableVsListIteration,DataTable_Iteration,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,12,41524400,32768,1267.22,0,0,0,0
IEnumerableVsListIteration.DataTable_Iteration,KnowledgeSharing_09_10_23,IEnumerableVsListIteration,DataTable_Iteration,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,13,91710300,65536,1399.39,0,0,0,0
IEnumerableVsListIteration.DataTable_Iteration,KnowledgeSharing_09_10_23,IEnumerableVsListIteration,DataTable_Iteration,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,14,69003200,131072,526.45,0,0,0,0
IEnumerableVsListIteration.DataTable_Iteration,KnowledgeSharing_09_10_23,IEnumerableVsListIteration,DataTable_Iteration,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,NLoops=1000,1,Workload,Pilot,15,88590900,262144,337.95,0,0,0,0
